row_id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
HTL00028,2,0,2,1,Meal Plan 1,0,Room_Type 1,15,2018,5,8,Online,0,0,0,111.0,0,Canceled
HTL00029,2,0,1,3,Meal Plan 2,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,86.0,0,Canceled
HTL00030,1,2,3,7,Meal Plan 1,0,Room_Type 1,65,2018,6,10,Online,0,0,0,162.45,0,Canceled
HTL00031,2,0,2,1,Meal Plan 1,0,Room_Type 1,3,2018,4,23,Offline,0,0,0,47.5,1,Not_Canceled
HTL00032,1,0,2,5,Not Selected,0,Room_Type 1,15,2018,2,4,Online,0,0,0,65.2,1,Not_Canceled
HTL00033,2,0,0,3,Meal Plan 1,0,Room_Type 1,21,2017,10,20,Online,0,0,0,126.0,2,Not_Canceled
HTL00034,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
HTL00035,1,0,0,3,Meal Plan 1,0,Room_Type 1,7,2018,5,5,Offline,0,0,0,112.0,0,Not_Canceled
HTL00036,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled
HTL00037,2,0,2,5,Meal Plan 1,0,Room_Type 4,108,2018,7,16,Online,0,0,0,121.37,0,Canceled
HTL00038,2,0,1,3,Meal Plan 1,0,Room_Type 1,119,2018,4,4,Offline,0,0,0,71.0,1,Not_Canceled
HTL00039,2,0,1,4,Meal Plan 1,0,Room_Type 1,100,2018,4,25,Online,0,0,0,92.65,2,Not_Canceled
HTL00040,2,0,1,0,Not Selected,0,Room_Type 1,113,2018,7,10,Online,0,0,0,103.5,0,Canceled
HTL00041,2,1,0,4,Meal Plan 1,0,Room_Type 4,12,2017,10,6,Offline,0,0,0,123.3,1,Not_Canceled
HTL00042,3,0,0,1,Meal Plan 1,0,Room_Type 4,154,2018,7,9,Online,0,0,0,146.7,0,Canceled
HTL00043,3,0,1,3,Meal Plan 1,0,Room_Type 1,5,2018,1,28,Online,0,0,0,130.0,0,Not_Canceled
HTL00044,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
HTL00045,2,0,1,2,Meal Plan 1,0,Room_Type 1,3,2018,9,12,Offline,0,0,0,95.0,0,Not_Canceled
HTL00046,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2018,9,17,Offline,0,0,0,85.5,0,Not_Canceled
HTL00047,2,0,0,3,Meal Plan 1,1,Room_Type 2,1,2017,12,23,Online,0,0,0,86.25,0,Not_Canceled
HTL00048,2,0,0,2,Meal Plan 1,0,Room_Type 1,167,2018,8,5,Online,0,0,0,105.3,2,Canceled
HTL00049,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
HTL00050,2,0,1,0,Meal Plan 1,0,Room_Type 1,13,2018,3,20,Offline,0,0,0,85.0,1,Not_Canceled
HTL00051,2,0,2,3,Meal Plan 2,0,Room_Type 1,155,2018,9,1,Online,0,0,0,161.1,0,Canceled
HTL00052,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120.0,0,Canceled
HTL00053,2,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,4,22,Online,0,0,0,131.0,0,Canceled
HTL00054,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,12,15,Offline,0,0,0,58.0,1,Not_Canceled
HTL00055,2,0,0,3,Meal Plan 1,0,Room_Type 1,38,2018,1,14,Online,0,0,0,78.3,1,Not_Canceled
HTL00056,2,0,1,3,Meal Plan 1,0,Room_Type 4,103,2018,5,5,Online,0,0,0,95.88,1,Not_Canceled
HTL00057,1,0,0,2,Meal Plan 1,0,Room_Type 1,47,2017,8,18,Offline,0,0,0,100.0,1,Not_Canceled
HTL00058,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Online,0,0,0,117.0,1,Canceled
HTL00059,2,0,2,6,Meal Plan 1,0,Room_Type 1,171,2018,7,22,Offline,0,0,0,81.25,2,Canceled
HTL00060,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,9,3,Online,0,0,0,117.67,2,Not_Canceled
HTL00061,2,1,0,1,Meal Plan 1,0,Room_Type 1,5,2018,2,27,Online,0,0,0,93.0,0,Not_Canceled
HTL00062,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled
HTL00063,2,0,1,2,Meal Plan 1,0,Room_Type 1,130,2018,4,15,Offline,0,0,0,71.0,0,Not_Canceled
HTL00064,2,0,0,4,Meal Plan 1,0,Room_Type 1,93,2017,10,7,Online,0,0,0,89.25,1,Not_Canceled
HTL00065,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,27,Complementary,1,0,1,0.0,0,Not_Canceled
HTL00066,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,2018,9,26,Offline,0,0,0,95.0,0,Canceled
HTL00067,2,1,2,2,Meal Plan 1,0,Room_Type 1,71,2018,6,17,Offline,0,0,0,93.08,1,Not_Canceled
HTL00068,1,0,1,0,Not Selected,0,Room_Type 1,20,2018,9,12,Online,0,0,0,89.0,2,Not_Canceled
HTL00069,2,0,1,2,Meal Plan 1,0,Room_Type 1,215,2018,7,8,Online,0,0,0,96.3,0,Canceled
HTL00070,2,0,1,2,Meal Plan 1,0,Room_Type 1,267,2018,9,30,Offline,0,0,0,95.0,0,Canceled
HTL00071,2,0,0,3,Meal Plan 1,0,Room_Type 4,82,2018,4,26,Offline,0,0,0,90.95,0,Not_Canceled
HTL00072,2,0,0,3,Meal Plan 1,0,Room_Type 1,162,2017,9,17,Offline,0,0,0,70.0,1,Not_Canceled
HTL00073,2,0,0,3,Meal Plan 1,0,Room_Type 1,105,2017,11,26,Online,0,0,0,72.25,3,Not_Canceled
HTL00074,1,0,0,2,Meal Plan 1,0,Room_Type 1,64,2018,5,17,Corporate,0,0,0,130.0,0,Not_Canceled
HTL00075,1,0,0,3,Meal Plan 1,0,Room_Type 1,11,2017,9,15,Corporate,0,0,0,65.0,0,Not_Canceled
HTL00076,2,0,1,2,Meal Plan 1,0,Room_Type 1,91,2017,10,19,Online,0,0,0,89.25,3,Not_Canceled
HTL00077,2,0,0,1,Meal Plan 2,0,Room_Type 1,72,2017,9,18,Offline,0,0,0,108.0,0,Not_Canceled
HTL00078,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,10,Offline,0,0,0,65.0,0,Not_Canceled
HTL00079,2,0,2,0,Meal Plan 1,0,Room_Type 4,77,2018,5,1,Online,0,0,0,140.4,0,Not_Canceled
HTL00080,2,0,0,2,Meal Plan 1,0,Room_Type 4,77,2018,9,16,Online,0,0,0,149.4,1,Not_Canceled
HTL00081,1,0,0,1,Meal Plan 1,0,Room_Type 1,28,2017,10,29,Offline,0,0,0,130.0,0,Not_Canceled
HTL00082,2,0,1,4,Not Selected,0,Room_Type 1,178,2018,7,6,Online,0,0,0,80.75,1,Not_Canceled
HTL00083,1,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,90.0,0,Not_Canceled
HTL00084,1,0,2,1,Meal Plan 1,1,Room_Type 1,3,2018,3,13,Corporate,0,0,0,69.0,0,Not_Canceled
HTL00085,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2018,1,27,Online,0,0,0,71.7,0,Not_Canceled
HTL00086,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,5,Online,0,0,0,82.0,0,Not_Canceled
HTL00087,2,0,2,3,Meal Plan 1,0,Room_Type 1,65,2018,3,3,Online,0,0,0,73.95,2,Not_Canceled
HTL00088,2,0,0,3,Meal Plan 1,0,Room_Type 1,170,2018,8,18,Online,0,0,0,108.3,1,Canceled
HTL00089,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,8,4,Online,0,0,0,115.0,1,Not_Canceled
HTL00090,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
HTL00091,1,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Offline,0,0,0,87.0,0,Not_Canceled
HTL00092,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,27,Complementary,0,0,0,0.0,0,Not_Canceled
HTL00093,3,0,0,2,Meal Plan 1,0,Room_Type 4,138,2018,8,18,Online,0,0,0,142.2,0,Canceled
HTL00094,2,0,0,2,Not Selected,0,Room_Type 1,62,2018,3,11,Online,0,0,0,67.5,0,Not_Canceled
HTL00095,1,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,2,10,Complementary,1,0,17,0.0,2,Not_Canceled
HTL00096,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2017,9,22,Corporate,0,0,0,65.0,0,Not_Canceled
HTL00097,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,9,26,Online,0,0,0,106.65,0,Not_Canceled
HTL00098,2,0,1,0,Meal Plan 1,0,Room_Type 1,263,2017,9,21,Offline,0,0,0,67.0,0,Not_Canceled
HTL00099,2,0,0,3,Not Selected,1,Room_Type 1,42,2018,3,24,Online,0,0,0,115.8,1,Not_Canceled
HTL00100,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,7,18,Online,0,0,0,81.08,1,Not_Canceled
HTL00101,2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2017,12,4,Offline,0,0,0,65.0,0,Not_Canceled
HTL00102,2,0,1,3,Meal Plan 1,0,Room_Type 1,72,2018,3,24,Offline,0,0,0,62.38,0,Not_Canceled
HTL00103,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Offline,0,0,0,94.5,0,Canceled
HTL00104,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,80.0,0,Canceled
HTL00105,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81.0,0,Not_Canceled
HTL00106,2,0,1,2,Meal Plan 1,0,Room_Type 6,69,2018,1,29,Offline,0,0,0,82.0,0,Not_Canceled
HTL00107,2,0,1,2,Meal Plan 1,0,Room_Type 2,1,2017,8,14,Complementary,0,0,0,0.0,0,Not_Canceled
HTL00108,2,0,1,3,Meal Plan 1,0,Room_Type 1,13,2018,2,1,Offline,0,0,0,66.0,0,Not_Canceled
HTL00109,2,1,1,3,Meal Plan 2,0,Room_Type 1,179,2018,7,25,Offline,0,0,0,85.6,1,Not_Canceled
HTL00110,3,0,0,1,Meal Plan 1,0,Room_Type 4,176,2018,9,1,Online,0,0,0,159.3,2,Canceled
HTL00111,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,31,Complementary,0,0,0,0.0,0,Not_Canceled
HTL00112,2,0,1,2,Not Selected,0,Room_Type 1,63,2018,8,15,Offline,0,0,0,63.75,0,Not_Canceled
HTL00113,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
HTL00114,2,0,0,2,Not Selected,1,Room_Type 1,9,2018,8,23,Online,0,0,0,137.0,2,Not_Canceled
HTL00115,2,0,2,2,Meal Plan 1,0,Room_Type 1,193,2018,8,26,Online,0,0,0,95.2,0,Canceled
HTL00116,2,2,0,3,Meal Plan 1,0,Room_Type 2,5,2018,2,11,Online,0,0,0,83.03,0,Canceled
HTL00117,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
HTL00118,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2017,8,15,Online,0,0,0,124.0,2,Not_Canceled
HTL00119,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
HTL00120,2,0,2,2,Meal Plan 1,0,Room_Type 1,204,2017,10,9,Offline,0,0,0,72.75,0,Not_Canceled
HTL00121,2,0,0,1,Meal Plan 1,0,Room_Type 1,48,2018,2,6,Online,0,0,0,80.3,0,Not_Canceled
HTL00122,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,3,4,Online,0,0,0,116.0,0,Not_Canceled
HTL00123,3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0,Canceled
HTL00124,2,0,0,2,Meal Plan 1,0,Room_Type 4,67,2018,7,20,Online,0,0,0,123.3,1,Not_Canceled
HTL00125,3,0,0,1,Meal Plan 1,0,Room_Type 4,40,2018,3,22,Online,0,0,0,131.4,1,Canceled
HTL00126,2,0,2,2,Meal Plan 1,0,Room_Type 4,43,2018,5,21,Online,0,0,0,140.4,1,Not_Canceled
HTL00127,2,0,1,2,Not Selected,0,Room_Type 1,18,2018,3,18,Online,0,0,0,97.0,0,Canceled
HTL00128,2,0,0,2,Meal Plan 1,0,Room_Type 1,15,2017,12,1,Online,1,1,0,69.0,0,Not_Canceled
HTL00129,3,0,1,2,Meal Plan 1,0,Room_Type 4,36,2018,3,11,Online,0,0,0,114.3,1,Canceled
HTL00130,3,0,0,1,Meal Plan 1,0,Room_Type 1,160,2018,7,5,Offline,0,0,0,96.9,1,Not_Canceled
HTL00131,2,0,1,3,Not Selected,0,Room_Type 1,47,2018,3,7,Online,0,0,0,65.75,0,Not_Canceled
HTL00132,3,0,2,1,Meal Plan 1,0,Room_Type 1,162,2018,8,14,Online,0,0,0,146.7,0,Canceled
HTL00133,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
HTL00134,3,0,1,1,Meal Plan 1,0,Room_Type 4,65,2018,7,9,Online,0,0,0,148.5,0,Canceled
HTL00135,2,0,1,3,Meal Plan 1,0,Room_Type 4,13,2017,12,28,Offline,0,0,0,52.5,0,Not_Canceled
HTL00136,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,9,1,Online,0,0,0,139.0,0,Not_Canceled
HTL00137,1,0,2,2,Meal Plan 1,0,Room_Type 1,28,2017,9,4,Online,0,0,0,90.25,1,Not_Canceled
HTL00138,2,0,2,2,Meal Plan 1,0,Room_Type 4,68,2018,9,24,Online,0,0,0,149.4,2,Not_Canceled
HTL00139,1,0,0,2,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled
HTL00140,2,0,1,1,Meal Plan 1,0,Room_Type 4,168,2018,7,18,Offline,0,0,0,91.45,0,Not_Canceled
HTL00141,2,0,2,3,Meal Plan 2,0,Room_Type 1,151,2018,7,3,Offline,0,0,0,300.0,0,Canceled
HTL00142,1,1,0,1,Not Selected,0,Room_Type 1,4,2018,8,2,Online,0,0,0,93.56,0,Not_Canceled
HTL00143,2,0,2,4,Meal Plan 1,0,Room_Type 1,92,2017,8,7,Online,0,0,0,76.5,1,Canceled
HTL00144,2,0,1,4,Meal Plan 2,0,Room_Type 1,54,2018,3,14,Offline,0,0,0,92.0,1,Not_Canceled
HTL00145,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,26,Complementary,1,0,10,0.0,1,Not_Canceled
HTL00146,1,0,0,2,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled
HTL00147,2,0,0,2,Meal Plan 1,0,Room_Type 1,21,2018,3,10,Online,0,0,0,93.0,1,Not_Canceled
HTL00148,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2018,4,1,Offline,0,0,0,95.0,0,Not_Canceled
HTL00149,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0,Canceled
HTL00150,2,2,0,3,Meal Plan 1,0,Room_Type 6,101,2018,6,28,Online,0,0,0,186.3,0,Canceled
HTL00151,3,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,8,23,Online,0,0,0,225.0,2,Not_Canceled
HTL00152,2,0,2,5,Meal Plan 1,0,Room_Type 4,12,2018,1,10,Online,0,0,0,72.96,0,Not_Canceled
HTL00153,1,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,65.0,0,Not_Canceled
HTL00154,1,0,1,2,Meal Plan 1,0,Room_Type 4,17,2018,5,30,Online,0,0,0,102.15,0,Canceled
HTL00155,2,0,2,4,Meal Plan 1,0,Room_Type 1,224,2018,9,3,Online,0,0,0,97.18,1,Canceled
HTL00156,2,0,1,3,Meal Plan 1,1,Room_Type 1,25,2018,9,15,Online,0,0,0,165.5,2,Not_Canceled
HTL00157,3,0,2,1,Meal Plan 1,0,Room_Type 1,99,2018,5,1,Online,0,0,0,137.7,0,Canceled
HTL00158,2,0,0,3,Meal Plan 1,0,Room_Type 1,9,2017,8,19,Online,0,0,0,81.0,1,Not_Canceled
HTL00159,2,0,0,3,Meal Plan 1,0,Room_Type 1,47,2018,3,29,Offline,0,0,0,75.0,0,Not_Canceled
HTL00160,2,0,0,1,Not Selected,0,Room_Type 1,142,2018,8,3,Online,0,0,0,94.5,2,Not_Canceled
HTL00161,2,0,1,3,Not Selected,0,Room_Type 1,49,2018,2,22,Online,0,0,0,65.75,1,Not_Canceled
HTL00162,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,13,Corporate,1,0,2,42.0,1,Not_Canceled
HTL00163,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,5,7,Online,0,0,0,135.0,0,Not_Canceled
HTL00164,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,3,4,Online,0,0,0,80.3,0,Not_Canceled
HTL00165,2,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,8,22,Corporate,0,0,0,100.0,0,Not_Canceled
HTL00166,1,0,1,1,Meal Plan 1,0,Room_Type 1,49,2018,3,14,Online,0,0,0,76.5,0,Canceled
HTL00167,1,0,2,1,Meal Plan 2,0,Room_Type 1,220,2018,9,17,Offline,0,0,0,128.0,0,Canceled
HTL00168,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,8,4,Online,0,0,0,151.0,1,Not_Canceled
HTL00169,3,0,2,7,Meal Plan 1,0,Room_Type 7,13,2018,7,13,Online,0,0,0,265.44,2,Not_Canceled
HTL00170,2,0,1,3,Meal Plan 1,0,Room_Type 1,39,2017,10,12,Online,0,0,0,94.5,2,Not_Canceled
HTL00171,2,0,0,1,Meal Plan 1,0,Room_Type 4,18,2018,3,17,Online,0,0,0,95.48,1,Not_Canceled
HTL00172,1,0,0,1,Meal Plan 1,0,Room_Type 1,20,2018,1,22,Online,0,0,0,81.0,0,Not_Canceled
HTL00173,2,0,1,3,Meal Plan 1,0,Room_Type 4,68,2018,9,8,Online,0,0,0,149.4,1,Not_Canceled
HTL00174,2,0,1,1,Meal Plan 1,0,Room_Type 1,113,2018,9,24,Online,0,0,0,135.9,0,Canceled
HTL00175,2,0,1,2,Meal Plan 2,0,Room_Type 1,105,2017,10,12,Offline,0,0,0,110.0,0,Canceled
HTL00176,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
HTL00177,3,0,4,9,Meal Plan 1,0,Room_Type 1,139,2018,7,16,Online,0,0,0,131.36,0,Canceled
HTL00178,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,7,3,Online,0,0,0,92.86,0,Not_Canceled
HTL00179,2,1,1,3,Not Selected,0,Room_Type 1,30,2018,7,14,Offline,0,0,0,88.56,1,Not_Canceled
HTL00180,2,0,0,3,Meal Plan 1,0,Room_Type 1,76,2017,7,7,Online,0,0,0,76.5,1,Canceled
HTL00181,2,0,1,5,Meal Plan 1,0,Room_Type 1,18,2018,2,22,Offline,0,0,0,50.33,0,Not_Canceled
HTL00182,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,2018,9,21,Online,0,0,0,184.0,1,Not_Canceled
HTL00183,2,0,1,1,Not Selected,0,Room_Type 1,175,2018,7,23,Online,0,0,0,85.5,1,Not_Canceled
HTL00184,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120.0,0,Not_Canceled
HTL00185,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled
HTL00186,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2018,3,18,Offline,0,0,0,59.5,0,Not_Canceled
HTL00187,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,Online,0,0,0,135.0,0,Canceled
HTL00188,2,0,0,3,Meal Plan 1,0,Room_Type 1,104,2017,12,3,Offline,0,0,0,75.0,0,Not_Canceled
HTL00189,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
HTL00190,2,0,2,4,Not Selected,0,Room_Type 1,13,2018,2,5,Online,0,0,0,79.0,0,Canceled
HTL00191,1,0,1,2,Meal Plan 1,0,Room_Type 1,191,2018,6,3,Offline,0,0,0,116.0,0,Canceled
HTL00192,2,0,2,1,Meal Plan 1,0,Room_Type 4,172,2018,5,22,Online,0,0,0,88.7,1,Not_Canceled
HTL00193,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
HTL00194,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,112.0,1,Canceled
HTL00195,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,Not_Canceled
HTL00196,2,0,0,3,Meal Plan 1,0,Room_Type 4,13,2017,10,6,Offline,0,0,0,75.0,1,Not_Canceled
HTL00197,2,0,0,2,Meal Plan 1,0,Room_Type 1,130,2018,5,6,Online,0,0,0,114.3,1,Not_Canceled
HTL00198,2,0,2,3,Meal Plan 1,0,Room_Type 1,268,2018,4,8,Offline,0,0,0,78.0,0,Canceled
HTL00199,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
HTL00200,2,0,1,2,Meal Plan 1,0,Room_Type 4,38,2018,9,26,Online,0,0,0,156.6,0,Canceled
HTL00201,2,0,2,0,Meal Plan 1,0,Room_Type 4,91,2018,8,21,Online,0,0,0,159.3,0,Not_Canceled
HTL00202,2,0,1,3,Meal Plan 1,0,Room_Type 1,50,2018,4,11,Online,0,0,0,99.45,1,Canceled
HTL00203,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
HTL00204,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
HTL00205,3,0,0,2,Meal Plan 1,0,Room_Type 4,69,2018,5,27,Online,0,0,0,159.3,2,Not_Canceled
HTL00206,1,0,1,1,Meal Plan 1,0,Room_Type 1,93,2018,6,20,Online,0,0,0,126.9,1,Not_Canceled
HTL00207,2,0,2,1,Not Selected,0,Room_Type 1,49,2018,3,6,Online,0,0,0,69.5,0,Not_Canceled
HTL00208,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,2018,7,6,Online,0,0,0,83.12,1,Not_Canceled
HTL00209,1,0,0,1,Meal Plan 1,0,Room_Type 1,34,2018,1,26,Corporate,0,0,0,59.0,0,Not_Canceled
HTL00210,2,0,3,6,Meal Plan 1,0,Room_Type 1,78,2017,10,31,Online,0,0,0,89.25,1,Canceled
HTL00211,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,3,2,Corporate,1,0,1,65.0,0,Not_Canceled
HTL00212,3,0,2,4,Meal Plan 1,0,Room_Type 4,41,2018,8,28,Online,0,0,0,143.55,2,Canceled
