Guest_ID,Stay_Duration_Days,Daily_Spend_ADR,Total_Spend
G3628,2,366.02,732.05
G4683,1,327.31,327.31
G4129,2,332.49,664.98
G1327,5,109.04,545.22
G3698,2,339.22,678.45
G1428,4,106.56,426.23
G4563,2,330.56,661.13
G0061,5,118.17,590.87
G5770,2,313.76,627.51
G0172,5,121.08,605.41
G3079,1,314.01,314.01
G0180,8,120.16,961.25
G4985,2,344.16,688.33
G0614,4,118.96,475.83
G4842,1,313.14,313.14
G0272,4,106.27,425.08
G4642,2,320.99,641.98
G3345,2,330.47,660.93
G1696,7,113.02,791.13
G2205,5,138.82,694.09
G3543,1,341.75,341.75
G2958,5,121.03,605.13
G3302,1,342.7,342.7
G3251,1,317.9,317.9
G2523,6,122.53,735.21
G2134,6,119.54,717.22
G3103,1,341.0,341.0
G3601,1,297.04,297.04
G0065,6,99.86,599.13
G4413,1,313.94,313.94
G2756,5,104.58,522.89
G4630,2,357.16,714.32
G0325,4,126.04,504.16
G5728,2,350.34,700.68
G3802,1,337.55,337.55
G1285,5,107.21,536.05
G0495,7,120.11,840.8
G0101,4,107.93,431.72
G4061,2,332.1,664.19
G3581,1,352.0,352.0
G0580,7,104.34,730.36
G2852,6,110.3,661.79
G2269,5,101.64,508.21
G4557,2,334.11,668.22
G5431,1,325.97,325.97
G0847,6,125.91,755.45
G3076,1,353.14,353.14
G2113,6,114.6,687.61
G2879,6,106.83,640.96
G0926,4,111.64,446.54
G0197,5,122.13,610.64
G5562,2,312.86,625.71
G2430,5,97.26,486.3
G0320,5,138.2,691.0
G1192,4,117.64,470.54
G5662,1,321.13,321.13
G0983,5,146.52,732.6
G0747,6,93.23,559.38
G3936,2,331.86,663.71
G5555,2,336.45,672.9
G0766,5,115.18,575.88
G5031,1,320.95,320.95
G0854,7,103.93,727.5
G1413,6,104.42,626.49
G0887,6,93.04,558.23
G5738,1,359.29,359.29
G0923,6,111.54,669.21
G2089,5,115.85,579.23
G3571,1,324.36,324.36
G1991,6,94.01,564.04
G5312,3,313.9,941.71
G0193,6,137.82,826.9
G5287,2,322.14,644.29
G5573,2,323.7,647.4
G2251,5,105.34,526.71
G0981,6,128.63,771.75
G4602,1,320.02,320.02
G4729,2,295.63,591.26
G3440,2,328.44,656.88
G1196,6,110.04,660.25
G1844,6,113.58,681.5
G2318,5,112.79,563.97
G3411,2,329.48,658.95
G0811,5,105.06,525.31
G1580,5,123.32,616.58
G5935,2,324.36,648.72
G4585,2,317.37,634.74
G1512,5,125.58,627.89
G1728,6,110.12,660.69
G0122,5,108.88,544.39
G0567,3,117.29,351.87
G5138,2,312.27,624.54
G3609,1,308.6,308.6
G4096,1,353.99,353.99
G0879,5,99.67,498.36
G3744,1,332.82,332.82
G1471,7,118.23,827.62
G0779,5,94.24,471.22
G4738,2,315.0,629.99
G1468,6,119.18,715.06
G1049,7,113.96,797.7
G4044,1,331.87,331.87
G2185,3,125.4,376.21
G2504,5,101.18,505.9
G5537,2,353.36,706.71
G3462,1,329.39,329.39
G0630,7,108.67,760.71
G2376,7,122.4,856.78
G1322,6,113.93,683.56
G2795,5,112.15,560.76
G2101,6,125.29,751.73
G4896,1,334.03,334.03
G0916,6,114.08,684.49
G5957,1,350.77,350.77
G3978,2,316.49,632.97
G2420,4,103.21,412.84
G2568,6,121.92,731.5
G0506,5,101.28,506.38
G4430,1,311.25,311.25
G1833,6,120.88,725.27
G4530,1,330.46,330.46
G0401,4,119.91,479.66
G1001,7,106.37,744.56
G0054,6,107.16,642.97
G4841,1,310.81,310.81
G0206,5,108.23,541.15
G1891,6,106.78,640.68
G5189,2,342.38,684.76
G1601,5,112.84,564.2
G0082,6,116.4,698.42
G0627,5,106.66,533.28
G4927,1,318.43,318.43
G0149,6,113.89,683.36
G5243,1,324.7,324.7
G5183,1,341.46,341.46
G1556,6,112.0,671.97
G1503,5,99.16,495.82
G1913,6,123.27,739.63
G1031,5,123.62,618.11
G3742,1,312.52,312.52
G5045,2,329.94,659.87
G0727,6,119.97,719.81
G0544,7,104.23,729.58
G2438,6,126.84,761.04
G4518,1,349.09,349.09
G0224,4,121.95,487.81
G5300,2,323.3,646.59
G2087,5,114.83,574.15
G1253,4,117.1,468.38
G4059,3,337.17,1011.51
G0379,8,120.06,960.48
G1190,5,114.37,571.84
G2312,7,127.34,891.36
G5357,1,330.8,330.8
G2285,5,131.19,655.94
G1103,8,128.51,1028.09
G5173,2,312.21,624.43
G0100,5,120.8,603.99
G1741,5,120.19,600.94
G5503,3,338.88,1016.63
G5758,2,355.92,711.85
G5321,1,335.71,335.71
G0046,5,94.5,472.5
G0725,6,108.78,652.68
G1411,7,108.32,758.22
G3083,2,327.88,655.75
G0313,6,135.86,815.16
G4182,1,333.36,333.36
G4785,2,353.71,707.41
G2329,6,119.76,718.54
G1378,7,135.42,947.94
G3914,2,341.94,683.88
G5797,1,302.01,302.01
G5120,2,344.56,689.11
G2056,5,103.78,518.92
G4210,2,319.67,639.34
G4151,2,330.51,661.03
G2629,5,106.89,534.46
G2525,6,106.44,638.62
G3761,2,308.71,617.42
G2666,4,100.64,402.55
G5004,2,341.33,682.66
G2793,5,117.97,589.87
G1643,5,112.74,563.72
G2715,6,118.95,713.67
G1336,5,108.54,542.72
G5056,2,318.83,637.65
G5744,2,328.26,656.52
G3028,1,346.08,346.08
G0787,6,118.16,708.98
G2627,7,118.28,827.95
G1552,5,123.39,616.97
G2361,4,114.54,458.15
G5148,2,335.14,670.27
G0311,5,103.18,515.91
G4844,1,338.87,338.87
G1220,8,96.96,775.69
G1541,5,104.6,522.99
G1123,6,124.58,747.47
G4043,2,326.11,652.22
G0514,5,97.52,487.62
G2914,6,119.06,714.36
G5920,2,322.54,645.08
G4512,3,330.0,990.01
G4127,2,337.09,674.18
G4345,1,339.26,339.26
G0178,7,109.99,769.9
G2088,5,120.05,600.25
G4698,1,362.23,362.23
G0704,4,106.63,426.52
G3538,2,345.28,690.56
G3441,1,303.63,303.63
G0049,6,119.25,715.53
G1456,4,117.89,471.55
G0187,6,103.03,618.19
G5248,1,328.55,328.55
G1992,6,121.83,730.99
G2336,6,110.02,660.12
G5672,2,330.12,660.23
G4317,1,348.34,348.34
G1838,6,107.41,644.47
G2901,5,114.3,571.49
G4895,1,324.96,324.96
G2142,6,120.36,722.18
G1811,5,122.56,612.82
G2399,6,96.07,576.43
G4972,2,327.27,654.54
G2697,7,111.0,777.01
G3422,1,334.2,334.2
G3032,1,326.41,326.41
G1073,6,99.62,597.74
G1733,5,104.54,522.69
G3972,1,340.52,340.52
G1785,6,142.55,855.31
G0407,4,121.82,487.28
G3048,2,329.09,658.17
G5704,2,353.25,706.49
G1806,4,99.04,396.16
G3340,1,330.32,330.32
G3150,2,336.25,672.51
G0463,5,116.57,582.83
G0875,5,107.61,538.03
G2614,5,115.93,579.66
G2206,6,123.27,739.63
G4332,2,322.01,644.02
G0341,5,122.06,610.3
G3414,2,323.93,647.86
G2071,6,103.21,619.26
G3488,1,347.93,347.93
G0324,8,117.58,940.64
G4992,1,341.68,341.68
G2730,5,114.47,572.37
G0064,4,109.71,438.83
G4048,1,333.15,333.15
G5367,2,323.2,646.4
G0978,3,129.47,388.42
G2188,5,117.14,585.69
G3513,1,344.69,344.69
G5549,1,351.78,351.78
G0990,6,107.25,643.52
G2959,7,110.54,773.8
G2714,4,118.98,475.92
G5988,1,343.34,343.34
G0127,5,95.91,479.53
G1289,4,130.09,520.37
G2825,5,109.03,545.16
G0609,4,101.5,406.02
G4338,1,354.35,354.35
G5703,1,305.08,305.08
G5620,2,343.62,687.24
G5840,2,331.57,663.14
G1910,6,106.76,640.59
G0378,6,105.35,632.13
G0776,4,119.72,478.86
G2490,4,111.16,444.62
G3640,1,326.39,326.39
G2801,6,117.95,707.71
G5481,1,330.23,330.23
G3717,2,333.88,667.77
G0890,7,123.5,864.47
G1661,7,129.82,908.74
G1630,6,119.25,715.52
G2661,4,114.45,457.81
G5280,2,315.29,630.59
G5705,3,337.7,1013.11
G2494,7,135.83,950.79
G5811,2,317.85,635.71
G2120,5,123.17,615.84
G5048,1,321.18,321.18
G2689,6,102.32,613.91
G3794,1,315.66,315.66
G0673,5,103.57,517.85
G2691,4,115.68,462.73
G0550,5,114.64,573.21
G2754,5,101.44,507.2
G5419,1,325.46,325.46
G2819,6,102.5,615.01
G5642,1,329.53,329.53
G1362,6,106.75,640.52
G5232,1,321.16,321.16
G3307,1,342.45,342.45
G1449,7,119.81,838.65
G2047,6,94.26,565.53
G5591,2,338.47,676.93
G1562,5,132.19,660.95
G5687,1,346.71,346.71
G4814,1,333.22,333.22
G2295,5,128.23,641.14
G3517,3,357.72,1073.15
G5161,1,349.88,349.88
G0418,6,117.08,702.47
G1685,4,104.63,418.52
G0851,5,109.75,548.77
G0121,6,110.16,660.99
G0522,6,90.07,540.4
G1869,4,116.47,465.88
G2194,4,109.09,436.35
G2758,5,111.69,558.43
G5641,2,335.51,671.02
G3668,1,324.26,324.26
G1126,4,104.04,416.18
G1545,5,118.7,593.51
G2061,6,111.95,671.69
G3262,2,352.41,704.81
G4624,1,350.29,350.29
G2389,6,101.69,610.16
G0283,7,93.48,654.33
G1300,6,107.07,642.45
G1279,6,114.32,685.91
G3735,2,350.36,700.73
G1461,5,126.89,634.43
G3502,1,349.84,349.84
G1724,6,111.96,671.79
G4225,1,349.12,349.12
G1532,4,124.45,497.81
G1183,6,106.54,639.22
G2373,6,104.04,624.23
G2313,6,106.95,641.69
G1922,6,118.05,708.31
G5209,1,337.3,337.3
G0688,5,117.65,588.24
G3163,1,340.07,340.07
G0440,5,117.93,589.64
G2803,6,110.89,665.37
G1896,5,114.9,574.51
G2231,5,133.08,665.38
G5492,1,332.71,332.71
G1158,8,110.23,881.81
G0769,5,121.65,608.24
G0346,6,131.28,787.71
G5861,2,336.32,672.64
G5820,2,339.93,679.87
G0020,4,120.52,482.07
G1525,5,126.8,634.01
G4735,2,315.23,630.47
G0153,5,90.0,450.0
G0511,6,127.21,763.25
G4924,2,326.1,652.21
G2811,5,126.03,630.16
G5483,3,324.38,973.14
G3406,2,357.08,714.16
G0752,4,118.29,473.16
G2575,8,105.2,841.61
G1197,5,125.97,629.87
G4648,3,335.03,1005.08
G2650,6,124.39,746.32
G5512,2,331.41,662.82
G1204,6,105.3,631.82
G1542,7,134.45,941.16
G3770,1,303.39,303.39
G5776,1,320.02,320.02
G1141,5,121.19,605.94
G4960,1,332.0,332.0
G0588,5,105.82,529.09
G2422,7,103.1,721.67
G3244,2,313.4,626.8
G0906,6,111.78,670.68
G1020,6,114.12,684.71
G0802,5,99.0,494.99
G0935,6,115.6,693.61
G2332,5,112.45,562.25
G5204,1,328.18,328.18
G0720,5,113.94,569.68
G2731,7,113.55,794.86
G1306,5,99.02,495.11
G2619,6,118.9,713.42
G3615,2,323.24,646.49
G4765,2,353.35,706.69
G1909,4,117.68,470.71
G1638,6,102.8,616.78
G0442,5,108.86,544.29
G1044,5,118.0,589.98
G5996,2,312.28,624.56
G5407,3,318.44,955.32
G2770,5,98.77,493.83
G5878,1,325.42,325.42
G4174,2,335.35,670.69
G1160,5,115.84,579.21
G1884,5,119.75,598.77
G4871,2,349.48,698.96
G3758,2,322.56,645.13
G5856,1,295.12,295.12
G5747,1,336.28,336.28
G3463,1,328.56,328.56
G3031,1,329.82,329.82
G5729,2,322.5,645.0
G2977,7,131.53,920.73
G3276,2,302.0,604.0
G1708,7,110.16,771.11
G0105,5,107.7,538.52
G1594,6,93.28,559.71
G2969,4,118.38,473.52
G1729,6,130.93,785.56
G2469,6,111.73,670.4
G3116,1,343.66,343.66
G1743,6,115.02,690.1
G3364,2,332.09,664.18
G4388,2,323.82,647.64
G1711,7,108.92,762.42
G0915,5,100.01,500.05
G5786,2,333.47,666.95
G1770,6,122.97,737.8
G3557,1,307.91,307.91
G4537,1,346.46,346.46
G4600,2,335.38,670.77
G1619,5,114.83,574.17
G1769,6,125.29,751.76
G0262,5,115.46,577.3
G5036,3,315.23,945.68
G2632,6,123.65,741.89
G5870,1,336.78,336.78
G3539,1,310.66,310.66
G2623,6,105.6,633.6
G2093,6,101.08,606.48
G0478,6,93.94,563.66
G3268,2,301.11,602.22
G0873,4,104.03,416.11
G0867,6,118.2,709.17
G1857,7,123.71,865.95
G4503,2,341.67,683.33
G2828,5,115.34,576.72
G4305,2,333.58,667.16
G2502,6,120.33,721.99
G3328,2,346.12,692.24
G3015,2,326.79,653.58
G5633,2,366.39,732.79
G4625,3,347.97,1043.92
G1241,5,96.58,482.91
G1235,5,99.37,496.85
G3480,2,345.66,691.32
G0534,4,102.61,410.44
G1767,8,103.17,825.36
G5522,2,286.37,572.74
G2139,4,108.08,432.31
G1127,6,106.19,637.15
G3981,1,323.31,323.31
G3326,1,335.43,335.43
G1137,7,114.44,801.09
G2095,7,113.85,796.94
G0520,6,92.83,556.99
G1980,6,92.8,556.77
G5718,2,318.98,637.95
G4252,1,344.92,344.92
G1759,7,108.35,758.42
G3357,3,339.91,1019.72
G3570,2,324.29,648.58
G0894,7,95.92,671.44
G5223,2,328.86,657.71
G1368,5,115.32,576.62
G4160,1,348.18,348.18
G4727,1,323.47,323.47
G3287,1,336.43,336.43
G5303,1,319.16,319.16
G4454,2,347.8,695.59
G3912,2,344.52,689.04
G3479,1,331.81,331.81
G1095,6,127.35,764.09
G1437,5,126.73,633.67
G5715,2,338.78,677.57
G2990,8,111.06,888.48
G3836,1,345.82,345.82
G5003,1,346.66,346.66
G4391,2,292.63,585.27
G2491,5,110.89,554.45
G1938,6,127.3,763.8
G5760,2,333.64,667.27
G3840,1,311.66,311.66
G0287,5,111.7,558.49
G2109,5,104.26,521.32
G2388,5,99.87,499.37
G1620,7,113.94,797.59
G5630,1,357.1,357.1
G2085,5,124.56,622.81
G4158,1,320.66,320.66
G1470,6,118.87,713.24
G4099,1,324.0,324.0
G0497,4,123.16,492.62
G2741,6,118.38,710.3
G3810,1,326.93,326.93
G5434,2,329.15,658.29
G2124,5,114.3,571.52
G2829,6,116.61,699.64
G0655,8,116.49,931.95
G5119,1,346.39,346.39
G1407,4,113.85,455.39
G5373,2,333.57,667.14
G5222,2,325.96,651.92
G3971,1,316.31,316.31
G2248,4,99.41,397.65
G5993,1,323.91,323.91
G5062,2,320.66,641.32
G3030,1,319.81,319.81
G4450,1,326.61,326.61
G2151,5,137.76,688.79
G5889,1,327.29,327.29
G0860,6,113.05,678.28
G3508,2,340.91,681.82
G1662,5,112.17,560.84
G3999,1,337.44,337.44
G2243,7,122.51,857.56
G4962,2,311.02,622.03
G0667,5,122.31,611.57
G0809,7,121.55,850.85
G3120,1,350.66,350.66
G3946,2,303.27,606.54
G5487,2,294.26,588.52
G4791,2,326.12,652.24
G1191,6,118.96,713.75
G4144,1,317.62,317.62
G1751,3,126.04,378.12
G4242,1,320.31,320.31
G4281,1,335.18,335.18
G3833,1,323.17,323.17
G1110,7,117.32,821.23
G5558,3,299.79,899.38
G4191,2,317.46,634.91
G2893,6,101.01,606.06
G5824,1,348.57,348.57
G5892,2,360.47,720.93
G5934,1,343.6,343.6
G5066,2,325.09,650.19
G0833,4,125.36,501.44
G3467,1,351.5,351.5
G5304,2,297.37,594.73
G3197,1,353.06,353.06
G4679,1,322.05,322.05
G4029,1,304.43,304.43
G3505,2,357.72,715.44
G4498,3,331.31,993.92
G1393,8,118.24,945.95
G2648,4,130.68,522.73
G2323,6,125.84,755.05
G4728,1,307.83,307.83
G5244,2,333.41,666.82
G0159,4,128.29,513.15
G5147,2,319.59,639.19
G4307,2,330.22,660.44
G0427,5,117.53,587.63
G5963,2,311.96,623.92
G0475,7,107.83,754.81
G4456,1,322.64,322.64
G1805,4,112.37,449.49
G4088,1,309.27,309.27
G0396,5,101.14,505.7
G4556,2,307.28,614.56
G3054,2,324.97,649.94
G0546,5,118.13,590.66
G2916,7,106.06,742.45
G1589,5,110.4,552.02
G0075,3,107.67,323.01
G5172,2,335.02,670.03
G2112,5,140.39,701.97
G5768,2,314.42,628.84
G1088,6,115.8,694.79
G4504,2,331.12,662.24
G5118,2,328.87,657.75
G0592,5,121.04,605.21
G4553,1,310.53,310.53
G1667,5,108.58,542.92
G5433,1,297.3,297.3
G5014,1,318.35,318.35
G4226,1,343.87,343.87
G4446,2,332.96,665.92
G4916,2,329.73,659.46
G5557,1,336.34,336.34
G1454,8,117.97,943.73
G0537,5,121.79,608.95
G5040,3,318.86,956.58
G0817,6,111.17,667.03
G0707,4,109.75,439.02
G4069,2,333.24,666.47
G3721,2,325.13,650.26
G4199,3,349.37,1048.12
G2315,6,108.43,650.6
G3013,2,292.19,584.37
G1201,6,117.44,704.62
G3235,1,347.66,347.66
G4347,1,343.32,343.32
G5859,1,324.12,324.12
G5678,2,324.52,649.05
G3082,2,354.09,708.17
G1111,5,126.46,632.3
G1228,5,119.2,595.99
G4983,1,323.91,323.91
G1270,7,124.29,870.06
G5085,1,349.85,349.85
G1886,6,110.26,661.55
G5273,1,319.22,319.22
G1758,6,127.81,766.86
G0917,6,114.13,684.75
G4965,1,334.34,334.34
G5782,2,320.83,641.65
G5182,2,323.26,646.51
G2536,5,140.01,700.05
G3702,1,336.7,336.7
G0714,6,93.67,562.04
G2232,6,120.06,720.37
G3266,2,340.1,680.2
G1050,7,118.93,832.53
G4401,1,329.05,329.05
G3389,2,345.41,690.81
G0703,5,105.84,529.18
G5200,2,329.37,658.73
G5152,1,323.86,323.86
G2415,7,107.91,755.34
G3137,2,327.1,654.21
G3105,1,315.14,315.14
G4298,1,353.62,353.62
G3258,1,313.56,313.56
G0380,5,107.72,538.59
G3704,1,330.1,330.1
G2884,6,100.0,599.97
G2237,6,101.02,606.13
G4947,2,320.33,640.65
G3403,1,306.19,306.19
G3477,2,334.08,668.15
G2768,6,114.2,685.21
G5616,1,330.47,330.47
G1450,6,129.97,779.8
G0492,7,112.87,790.06
G3982,2,322.44,644.89
G2798,4,112.42,449.67
G3582,2,308.86,617.72
G2566,5,121.9,609.5
G1490,7,115.01,805.09
G1513,5,109.11,545.54
G1427,8,118.5,948.03
G4559,1,328.46,328.46
G5903,1,295.96,295.96
G5858,2,345.42,690.84
G2664,5,100.21,501.07
G4234,2,313.44,626.88
G1639,8,94.83,758.61
G2032,5,127.54,637.72
G4093,1,293.13,293.13
G0517,6,107.04,642.27
G3917,1,349.74,349.74
G3793,2,332.7,665.41
G4217,1,343.45,343.45
G3760,2,321.73,643.47
G4724,2,331.07,662.14
G2357,5,98.68,493.4
G1872,5,128.6,643.01
G1792,6,111.0,666.01
G1719,6,122.23,733.37
G1946,5,125.4,627.0
G2902,5,90.0,450.0
G4260,3,329.51,988.52
G2802,8,112.62,900.94
G3265,1,316.0,316.0
G4596,1,337.5,337.5
G2968,5,127.24,636.19
G2620,7,113.46,794.23
G3439,2,342.4,684.81
G4333,3,358.43,1075.3
G3392,1,352.71,352.71
G3162,2,328.47,656.94
G0812,5,119.2,596.01
G3358,1,341.21,341.21
G3857,2,317.13,634.27
G0516,6,119.75,718.53
G0919,5,124.5,622.48
G0424,6,119.18,715.09
G2254,5,100.17,500.85
G1072,6,107.95,647.72
G3157,1,334.69,334.69
G5771,1,301.12,301.12
G4416,1,327.08,327.08
G2644,5,128.59,642.96
G4626,2,325.72,651.43
G5710,1,328.52,328.52
G2832,5,113.8,569.02
G2727,7,92.92,650.42
G0213,6,131.67,790.03
G4899,1,319.84,319.84
G5265,1,334.74,334.74
G5789,2,354.06,708.12
G5195,2,324.81,649.62
G4528,1,315.8,315.8
G2989,4,119.35,477.4
G1104,5,123.86,619.31
G0236,6,116.89,701.37
G5749,1,334.5,334.5
G0289,6,108.72,652.34
G1998,5,146.13,730.65
G4444,2,321.25,642.51
G0880,7,113.04,791.26
G2192,6,114.59,687.52
G2719,5,120.56,602.8
G0658,5,94.14,470.68
G3450,2,341.1,682.2
G5730,1,337.98,337.98
G4732,2,335.05,670.1
G5805,2,331.08,662.17
G5951,2,349.11,698.22
G5939,2,320.38,640.77
G5069,2,352.12,704.23
G0706,6,118.08,708.46
G1352,4,115.47,461.9
G4933,1,312.51,312.51
G3170,2,335.13,670.27
G2616,6,90.0,540.0
G4583,1,322.69,322.69
G2957,6,113.77,682.61
G2501,6,122.03,732.19
G2712,7,104.64,732.47
G1033,6,103.49,620.93
G4341,1,323.24,323.24
G0295,6,102.93,617.58
G2204,4,122.71,490.83
G4237,1,347.42,347.42
G4906,1,304.42,304.42
G0708,7,128.52,899.65
G4098,1,334.58,334.58
G2531,6,127.92,767.52
G1239,6,129.53,777.2
G4001,2,319.82,639.65
G4830,1,321.07,321.07
G1559,7,109.62,767.36
G1367,5,109.74,548.72
G5336,2,315.38,630.77
G2944,5,99.56,497.78
G0106,6,118.61,711.69
G3233,1,331.03,331.03
G2202,5,109.9,549.49
G5994,1,315.8,315.8
G2431,6,108.14,648.84
G2051,6,122.29,733.74
