Guest_ID,Lead_Time_Days,Avg_Daily_Rate_USD,Length_Of_Stay_Days
G_473,1.0,200.4,2.6
G_5240,5.5,100.0,3.9
G_1159,4.5,253.2,1.9
G_133,1.4,236.8,2.5
G_1537,3.8,237.0,1.5
G_2489,66.0,141.4,5.5
G_1633,2.0,214.1,2.1
G_1322,3.8,197.4,1.4
G_5428,2.9,74.8,3.7
G_1189,3.8,242.3,1.5
G_4379,5.9,77.7,1.5
G_3972,69.7,144.0,4.8
G_4817,5.2,56.4,2.0
G_682,1.3,212.4,1.7
G_1778,2.9,189.3,1.8
G_4406,5.2,82.1,2.6
G_4601,7.5,88.3,2.9
G_4563,4.2,89.9,1.8
G_2903,66.3,110.5,4.7
G_5687,6.8,68.8,2.0
G_3552,88.8,131.4,6.9
G_5643,2.0,69.5,2.9
G_1375,5.2,177.9,2.2
G_1946,2.4,242.8,2.4
G_169,2.6,214.1,2.5
G_4072,6.6,72.9,1.4
G_4748,3.4,50.8,3.9
G_502,5.9,244.2,1.3
G_1804,1.0,224.0,2.9
G_882,2.2,167.0,2.7
G_707,1.1,223.6,2.7
G_3367,85.9,123.5,6.3
G_2324,79.6,162.8,6.6
G_2894,66.7,108.5,7.8
G_3817,51.3,132.3,8.3
G_2560,81.0,153.3,9.0
G_231,1.9,202.9,1.2
G_5092,5.3,69.3,2.9
G_1555,2.7,174.0,2.0
G_4240,4.2,75.7,2.6
G_5095,7.5,78.4,2.6
G_4787,5.4,77.1,1.9
G_3602,52.4,155.4,7.7
G_5218,7.4,70.1,3.0
G_5076,3.7,67.3,3.1
G_018,3.5,169.9,2.3
G_5176,7.3,81.3,3.8
G_2869,52.1,130.9,5.9
G_1655,3.5,223.7,1.6
G_1130,3.5,209.7,2.0
G_2330,61.7,127.5,8.6
G_1091,2.9,174.6,1.1
G_5604,7.7,89.4,2.5
G_4459,1.4,79.5,2.5
G_1499,4.5,215.4,1.0
G_3034,45.3,106.4,8.5
G_1882,5.4,224.4,2.7
G_2663,73.0,145.9,8.4
G_5114,4.7,69.6,2.1
G_3414,66.0,121.9,7.4
G_697,3.5,247.0,2.3
G_4424,6.7,71.6,3.2
G_3485,54.9,100.2,6.1
G_536,3.1,212.6,1.7
G_2628,81.8,149.2,5.9
G_3164,39.9,151.4,10.5
G_3493,51.0,121.3,7.3
G_3654,67.2,160.4,9.5
G_2595,32.4,128.1,7.5
G_5718,6.6,66.3,2.4
G_5511,4.5,85.0,2.9
G_1048,1.0,211.6,2.0
G_5685,6.4,86.3,3.4
G_5019,4.3,65.1,2.6
G_015,1.0,240.7,2.0
G_3743,50.5,100.8,6.8
G_4308,7.1,72.2,1.3
G_5874,4.6,77.0,3.8
G_2348,79.1,136.3,9.1
G_5691,8.9,82.8,3.3
G_1565,4.1,244.0,2.0
G_5620,3.4,71.4,4.7
G_1865,5.0,210.7,1.7
G_3095,70.1,154.3,6.1
G_066,5.0,205.4,1.7
G_3404,57.2,125.9,5.4
G_5410,5.9,85.2,2.5
G_5855,4.7,65.6,3.8
G_2411,66.6,127.1,7.0
G_5770,5.2,73.0,2.8
G_2842,51.5,144.4,5.3
G_2009,77.1,123.7,5.7
G_1273,1.4,242.0,1.4
G_4946,6.7,92.2,2.8
G_1895,2.9,210.2,2.2
G_4318,5.8,80.9,2.4
G_1972,1.0,192.4,2.0
G_4096,5.5,68.7,1.8
G_089,2.2,208.7,2.6
G_3091,52.8,143.9,7.7
G_4884,5.3,78.5,2.5
G_1500,3.9,211.1,2.8
G_2900,37.9,142.5,6.4
G_1408,5.3,223.2,2.6
G_3460,39.8,126.0,6.4
G_3671,71.2,133.7,4.6
G_4699,2.2,86.0,3.4
G_5778,3.9,73.7,2.4
G_4504,3.0,82.2,1.7
G_764,2.9,204.2,2.2
G_1663,1.0,229.3,2.0
G_421,6.1,246.2,2.7
G_3015,55.4,125.7,8.4
G_2585,83.9,124.7,5.7
G_374,4.4,232.5,2.1
G_5032,3.9,58.4,2.8
G_4535,3.6,72.7,1.6
G_2374,79.1,81.2,6.2
G_2768,64.2,133.7,9.4
G_3362,70.0,158.3,6.1
G_1833,4.4,245.9,1.4
G_1621,3.2,185.7,1.8
G_3276,49.4,92.7,8.2
G_539,4.5,188.9,1.9
G_3551,65.1,137.2,8.9
G_756,6.9,208.7,2.1
G_3607,46.5,80.0,5.8
G_535,2.0,209.6,2.4
G_1449,4.9,210.3,2.2
G_916,3.4,266.2,2.1
G_3128,69.4,113.7,5.4
G_4940,7.6,74.3,2.2
G_5418,2.9,71.8,2.7
G_182,1.7,211.1,1.7
G_1770,3.8,206.2,1.2
G_4610,5.6,90.1,1.4
G_2830,53.5,105.1,6.1
G_3314,30.8,128.3,5.0
G_5458,5.1,73.3,1.0
G_1193,2.1,277.0,2.3
G_4082,5.2,93.3,1.7
G_2128,82.5,111.1,4.0
G_5396,4.5,68.5,1.9
G_477,3.9,214.2,1.8
G_4921,2.7,73.6,3.4
G_1324,3.7,226.4,2.1
G_260,4.2,225.0,1.6
G_280,2.4,231.6,2.2
G_562,6.1,222.1,2.9
G_4285,4.7,71.2,2.5
G_199,3.1,204.0,1.0
G_3930,37.7,141.0,5.8
G_4378,1.3,94.5,2.3
G_2276,61.3,137.6,7.9
G_1741,2.8,202.1,2.2
G_1892,3.0,234.6,2.4
G_1860,3.4,215.1,1.7
G_4615,5.2,64.6,3.9
G_5904,3.4,81.7,1.8
G_3027,64.7,121.3,7.3
G_1384,2.1,245.7,2.8
G_2092,61.4,146.9,5.3
G_3077,72.0,123.3,6.2
G_4334,6.3,64.3,2.8
G_3199,86.6,80.3,7.7
G_1600,1.9,214.3,2.2
G_2575,62.4,127.1,5.3
G_1727,2.2,232.4,1.0
G_3238,64.2,96.6,7.1
G_5247,10.3,78.7,1.9
G_5694,3.9,80.6,2.0
G_4667,5.3,76.0,2.5
G_4793,8.4,75.2,2.7
G_1224,3.6,237.4,1.5
G_1298,2.6,196.4,2.4
G_2776,72.3,102.5,7.3
G_016,2.2,215.2,1.7
G_5426,6.8,67.2,1.2
G_352,5.2,235.4,2.0
G_5405,3.2,78.1,2.3
G_1363,3.2,175.2,2.0
G_2171,46.7,119.1,9.7
G_2032,53.6,160.0,8.4
G_3814,54.0,152.4,9.4
G_1023,3.0,209.7,1.9
G_372,3.7,206.3,1.7
G_2245,50.9,115.9,9.4
G_2314,69.1,113.0,8.2
G_5861,7.6,94.6,2.0
G_3797,39.9,129.0,4.2
G_3800,32.5,106.3,4.8
G_5805,6.5,64.8,2.0
G_743,2.1,221.1,2.0
G_1269,1.9,225.8,1.3
G_2601,40.7,122.3,8.8
G_1618,1.9,212.9,1.8
G_806,2.5,175.6,1.2
G_4797,3.1,85.0,1.4
G_684,3.7,238.3,1.7
G_4984,6.6,100.0,1.6
G_3560,56.8,123.3,5.3
G_3853,65.4,143.7,8.8
G_3806,51.7,103.8,6.2
G_5564,4.3,50.2,4.4
G_4707,3.8,80.3,3.3
G_4370,6.3,63.8,2.5
G_5013,2.5,84.2,2.5
G_3857,41.9,112.8,6.6
G_3860,68.2,171.1,7.0
G_009,2.3,236.5,1.8
G_1863,4.2,219.8,1.8
G_2820,51.8,135.3,9.6
G_1352,1.0,211.5,2.2
G_577,3.4,256.6,1.4
G_627,1.5,255.1,1.7
G_3619,40.3,150.5,7.3
G_5532,6.7,85.6,3.1
G_427,1.6,234.3,2.2
G_034,1.4,232.6,1.0
G_1047,4.0,249.0,1.0
G_045,1.0,199.4,2.5
G_3340,78.2,130.4,7.8
G_1045,2.7,237.9,2.4
G_1102,1.0,241.4,2.3
G_1050,5.1,249.9,1.9
G_1884,2.1,197.7,1.2
G_4472,2.9,71.3,2.8
G_4634,3.1,69.7,2.0
G_1744,4.7,224.2,1.3
G_2578,44.9,110.3,6.3
G_064,1.2,217.4,2.2
G_4354,4.6,81.1,1.0
G_3071,78.1,148.5,6.0
G_5330,5.9,82.8,4.0
G_2618,95.5,144.5,6.6
G_1120,4.6,261.4,2.4
G_2500,54.6,151.3,7.2
G_3393,40.4,125.6,7.8
G_706,3.9,246.1,1.9
G_4987,3.3,86.4,2.6
G_4963,3.1,77.9,1.1
G_3269,62.7,165.7,8.6
G_4011,3.8,69.8,3.7
G_1613,4.3,215.5,2.5
G_4223,6.9,84.2,2.6
G_1974,3.3,222.2,1.0
G_4816,3.8,84.6,2.1
G_5560,6.0,73.5,1.6
G_3933,57.4,143.1,6.4
G_1316,1.0,230.4,1.9
G_5688,7.2,77.9,1.8
G_5695,3.3,72.1,3.1
G_2799,55.8,155.1,7.1
G_5783,4.4,71.0,1.4
G_3837,70.6,150.5,7.0
G_4763,3.8,53.4,2.3
G_748,1.9,191.2,1.5
G_4242,5.2,73.2,2.4
G_474,5.1,185.5,2.3
G_3444,71.8,131.6,7.6
G_5674,4.9,55.5,3.0
G_298,3.5,255.0,2.1
G_304,3.9,226.3,2.4
G_2477,75.6,133.1,5.5
G_2378,61.0,111.4,8.2
G_3535,52.1,146.4,8.5
G_3310,45.4,150.6,5.3
G_3870,70.9,123.8,7.7
G_4129,7.3,77.9,3.6
G_3617,62.4,150.3,6.5
G_2686,62.1,136.5,5.7
G_241,1.8,222.6,1.1
G_5738,7.2,78.1,2.8
G_2293,67.6,146.1,5.7
G_1672,2.4,241.8,2.0
G_2100,49.2,133.3,6.1
G_5061,6.0,90.9,3.2
G_1176,2.6,201.2,2.9
G_3934,80.4,115.6,8.4
G_4384,4.3,80.4,2.7
G_3083,48.3,127.2,7.8
G_2863,89.0,121.5,7.0
G_5592,8.0,72.8,2.5
G_5711,3.8,90.9,3.7
G_5177,4.6,76.3,2.3
G_1648,4.5,225.3,2.8
G_3415,94.3,105.5,7.1
G_334,2.0,211.1,2.1
G_2603,73.7,180.0,5.7
G_5868,5.6,75.9,2.3
G_2158,46.2,109.3,6.1
G_1162,6.4,231.4,1.0
G_3575,49.0,138.1,6.1
G_4477,4.6,82.7,4.4
G_4582,4.2,50.0,2.9
G_4951,6.3,93.7,3.6
G_3003,70.7,140.0,8.7
G_248,2.0,186.7,3.1
G_4877,0.6,84.0,1.6
G_3530,30.0,127.0,5.6
G_801,4.4,224.6,2.3
G_1685,1.2,235.1,1.7
G_4682,5.3,80.8,2.4
G_4197,3.7,76.4,2.3
G_1922,4.1,225.6,2.1
G_2210,50.1,136.9,6.0
G_1222,3.5,238.9,2.0
G_4004,4.9,83.1,2.1
G_1514,1.0,176.3,2.1
G_4352,4.3,83.8,1.4
G_1254,3.6,246.5,1.3
G_5331,3.3,68.9,2.6
G_5170,11.1,56.1,2.7
G_599,2.3,250.0,2.2
G_1610,2.6,209.6,2.0
G_316,3.0,230.5,2.5
G_5243,2.7,80.9,2.2
G_2277,73.7,179.2,7.2
G_150,3.4,178.9,2.1
G_4734,9.1,87.8,1.8
G_1845,3.2,260.2,2.4
G_291,2.7,263.5,2.3
G_454,3.8,202.1,2.1
G_5962,5.7,80.8,2.0
G_4809,4.2,67.7,3.3
G_3397,80.8,142.7,7.2
G_692,4.7,213.9,2.1
G_1145,2.7,230.8,2.5
G_1635,2.5,230.5,1.6
G_4193,5.5,71.8,1.4
G_1781,1.0,216.2,1.4
G_4971,4.6,79.4,1.7
G_3652,54.2,143.5,6.5
G_656,3.1,241.4,3.1
G_3136,67.7,119.4,5.0
G_1903,4.8,261.7,1.9
G_4428,5.2,66.9,1.4
G_1040,4.6,214.8,2.2
G_4630,2.1,90.4,2.6
G_1412,3.8,209.9,1.7
G_5748,6.4,84.4,1.0
G_1673,2.4,191.4,1.7
G_5096,6.3,86.8,1.0
G_1371,2.7,218.1,1.4
G_5083,4.0,75.4,2.1
G_3134,61.5,135.5,8.7
G_2381,90.9,132.0,10.5
G_3721,57.4,123.5,6.7
G_4092,2.4,72.3,3.1
G_5007,3.4,87.4,2.9
G_1624,2.0,221.2,2.2
G_3670,59.4,135.4,4.5
G_382,2.1,196.1,2.1
G_3115,75.9,130.3,6.8
G_1821,2.8,210.0,2.0
G_3631,76.1,170.1,9.2
G_423,2.6,214.3,2.6
G_809,4.9,242.9,2.7
G_1380,5.7,201.8,1.7
G_1670,3.8,228.5,2.7
G_2099,63.5,138.7,6.4
G_5526,6.4,86.0,3.7
G_125,3.9,220.6,2.2
G_103,2.5,198.3,2.7
G_4059,5.0,96.5,2.3
G_1733,3.0,169.5,2.5
G_3036,78.4,137.9,5.5
G_2916,40.7,138.7,7.0
G_487,2.0,210.3,2.2
G_1129,2.9,221.8,2.1
G_3618,82.4,106.6,8.4
G_1515,2.9,230.9,2.6
G_136,5.3,205.7,1.8
G_2599,33.5,108.6,7.4
G_2003,45.9,126.6,6.1
G_2834,61.6,148.9,6.6
G_1818,1.9,216.9,2.1
G_753,1.5,208.4,1.9
G_4002,1.2,72.9,2.5
G_5028,4.9,82.4,2.4
G_1104,2.8,246.8,2.0
G_5371,4.6,61.5,2.2
G_2317,94.9,126.2,8.8
G_1919,2.7,243.7,2.3
G_1544,2.3,193.1,1.9
G_3668,52.7,122.3,6.2
G_4442,3.7,80.7,3.6
G_3707,83.6,161.2,5.9
G_1177,1.0,183.3,1.3
G_1560,2.6,187.5,2.4
G_5664,0.6,76.2,3.0
G_145,3.4,214.4,1.2
G_381,1.7,195.9,2.1
G_1434,2.1,217.6,1.8
G_1096,2.9,252.0,1.8
G_5414,7.0,77.0,1.7
G_122,1.6,239.6,1.9
G_5566,3.7,77.9,2.8
G_612,2.9,191.6,1.0
G_4825,3.9,88.6,3.7
G_1942,2.4,250.8,2.4
G_419,4.8,229.8,1.8
G_2253,99.6,92.4,7.8
G_1351,1.2,207.0,2.3
G_2304,76.9,132.8,5.6
G_5434,5.8,76.1,2.4
G_4259,2.5,85.2,3.3
G_1979,1.8,234.2,2.1
G_4480,1.4,82.6,3.3
G_1303,2.7,225.4,2.4
G_3056,34.1,116.2,5.9
G_249,5.6,215.3,2.2
G_1398,1.5,257.2,2.4
G_4029,2.2,82.4,3.8
G_448,1.6,214.1,2.0
G_1426,1.0,246.6,2.3
G_4687,0.1,70.3,2.1
G_1200,5.0,230.9,2.5
G_1422,4.6,218.1,1.4
G_4558,5.0,88.2,1.1
G_3765,82.0,133.0,6.9
G_3917,55.9,156.3,8.2
G_4474,5.3,73.4,3.4
G_4665,4.3,83.3,2.6
G_4728,4.4,78.7,2.2
G_4114,6.0,70.1,2.4
G_3510,52.5,146.6,8.6
G_2886,47.8,138.6,8.6
G_1536,1.0,259.9,3.3
G_415,3.5,245.4,2.1
G_4586,5.1,78.2,1.0
G_1721,3.8,244.9,1.8
G_655,6.9,203.6,2.4
G_3561,37.0,123.7,7.3
G_1003,3.1,209.7,1.1
G_4455,4.2,68.3,2.3
G_3373,54.1,118.2,7.4
G_3974,52.3,142.1,5.8
G_5913,8.2,65.3,2.3
G_1488,1.0,236.6,2.2
G_590,1.7,218.4,1.5
G_2087,55.3,90.3,5.5
G_3609,54.4,101.5,5.1
G_4517,6.0,84.5,2.3
G_1601,2.7,199.4,1.9
G_5290,5.8,80.6,1.5
G_2837,73.9,119.1,6.0
G_2358,36.8,112.2,4.0
G_995,1.5,196.2,1.7
G_2198,52.9,171.5,8.5
G_1880,1.8,215.1,2.2
G_4565,2.8,63.5,1.3
G_1372,5.6,190.1,1.4
G_1874,4.2,183.1,1.5
G_209,3.8,212.2,1.6
G_4813,5.3,67.7,3.0
G_4241,2.8,70.4,4.1
G_426,5.1,232.9,1.4
G_5787,0.3,60.6,2.7
G_1407,1.0,237.1,1.2
G_5649,2.4,50.7,3.5
G_1109,2.1,231.3,1.5
G_5273,7.7,76.0,2.7
G_111,1.0,206.4,2.6
G_3075,71.0,171.1,6.0
G_5826,7.6,59.4,3.1
G_2264,64.6,128.3,6.8
G_2549,65.9,121.3,6.4
G_2035,38.6,123.5,4.0
G_1173,3.2,187.1,1.8
G_3769,70.4,144.1,7.0
G_2446,46.5,113.0,7.3
G_3183,70.9,125.7,8.1
G_2946,76.2,127.1,8.8
G_4592,7.8,68.4,3.5
G_4590,6.0,76.7,4.0
G_3612,30.0,142.7,10.9
G_3938,96.3,147.2,6.1
G_2147,61.0,142.6,5.2
G_5752,4.9,76.5,2.4
G_1469,1.2,208.6,1.8
G_438,1.0,240.7,1.9
G_5788,3.9,80.5,2.8
G_1058,4.8,225.1,2.0
G_2796,81.0,93.7,6.6
G_108,3.3,236.0,2.7
G_3553,37.1,141.1,8.8
G_030,2.6,207.7,2.4
G_2233,57.2,89.1,5.7
G_890,4.7,229.6,2.3
G_3066,45.9,122.7,6.5
G_1631,3.7,234.9,1.6
G_752,1.0,259.3,1.9
G_2359,30.3,118.7,6.5
G_585,3.3,247.4,1.9
G_1935,7.0,221.5,2.8
G_4983,3.2,60.7,1.0
G_2351,101.7,99.9,7.2
G_5606,6.6,73.7,2.4
G_5215,3.9,78.6,4.5
G_3847,46.6,135.4,8.5
G_5119,1.7,68.4,2.9
G_5949,10.5,65.7,1.9
G_2318,52.1,146.8,4.5
G_1345,4.4,195.9,1.8
G_3442,101.9,125.0,5.9
G_4636,7.8,74.5,1.8
G_5871,3.1,62.9,2.0
G_970,1.0,226.8,2.7
G_180,7.1,220.2,1.8
G_2795,57.0,106.8,8.3
G_1508,4.4,218.5,1.0
G_4047,6.3,71.9,1.8
G_2139,60.7,97.7,8.5
